,K,RMSE (Cossine Similarity),RMSE (Pearson Similarity)
0,1,1.6660122346566992,1.6675894558901023
1,2,1.4593454014201355,1.47381674064555
2,3,1.3765654757852706,1.3949298140384025
3,4,1.3312801783362531,1.3495646231839937
4,5,1.3045567986148918,1.3201619057331224
5,6,1.2870448855197798,1.3004913299205387
